id,cabinet_id,party_id,pm,description
241,608,368,t,""
242,534,368,t,""
243,249,794,t,""
244,857,368,t,""
245,415,368,t,""
246,565,368,t,""
247,696,368,t,""
248,25,368,t,""
249,783,368,t,""
250,751,794,t,""
251,70,368,t,""
252,670,368,t,""
253,498,794,t,""
254,739,794,t,""
255,704,794,t,""
256,785,368,t,""
257,182,368,t,""
258,55,368,t,""
259,103,368,t,""
496,329,686,f,""
497,329,1539,f,""
498,329,401,f,""
499,329,1086,f,""
500,329,1094,f,""
501,329,1297,f,""
502,411,686,f,""
503,411,1539,f,""
504,411,401,f,""
505,411,1086,f,""
507,648,686,f,""
508,648,1539,t,""
509,648,1086,f,""
510,150,686,f,""
511,150,1539,f,""
512,150,1086,t,""
513,52,1539,t,""
514,330,686,f,""
515,330,1539,t,""
516,330,890,f,""
517,330,1086,f,""
524,753,1539,f,""
525,753,890,f,""
526,753,1086,t,""
528,753,1297,f,""
529,263,1539,f,""
530,263,401,t,""
531,263,1086,f,""
532,263,1297,f,""
533,363,1539,f,""
534,363,890,f,""
535,363,1086,t,""
537,363,1297,f,""
541,636,1539,f,""
542,636,401,f,""
543,636,1086,t,""
545,636,1297,f,""
546,758,401,f,""
547,758,1086,t,""
549,758,1297,f,""
551,367,401,f,""
552,367,1086,f,""
555,104,1539,f,""
556,104,401,t,""
557,104,1086,f,""
559,104,1297,f,""
561,826,1086,f,""
562,826,401,f,""
564,32,401,t,""
565,32,1086,f,""
567,32,1414,f,""
568,658,401,f,""
569,658,1086,f,""
571,658,1414,t,""
572,557,401,t,""
573,557,1086,f,""
575,557,1414,f,""
576,400,401,f,""
577,400,1086,f,""
579,400,1414,t,""
580,414,401,t,""
581,414,1086,f,""
582,414,1094,f,""
583,414,1414,f,""
584,397,401,t,""
585,397,1086,f,""
586,397,1094,f,""
587,397,1414,f,""
588,591,1539,t,""
589,591,401,f,""
590,209,1539,f,""
591,209,401,t,""
592,209,890,f,""
593,458,1539,f,""
594,458,401,t,""
595,458,1086,f,""
596,458,1094,f,""
597,458,1414,f,""
598,594,1539,f,""
599,594,401,f,""
600,594,1086,t,""
602,594,1414,f,""
603,197,1539,f,""
604,197,401,f,""
605,197,1086,f,""
606,197,1414,f,""
607,692,401,f,""
608,692,1086,f,""
609,692,1094,t,""
610,692,1414,f,""
611,526,1086,f,""
612,526,1094,f,""
613,526,1414,f,""
614,698,1094,f,""
615,698,59,f,""
616,349,1094,f,""
617,349,59,f,""
618,662,1094,t,""
619,662,59,f,""
622,131,1094,t,""
623,131,59,f,""
624,111,1491,f,""
625,111,1094,t,""
626,111,59,f,""
627,430,885,f,""
628,430,1094,t,""
629,430,59,f,""
630,607,885,f,""
631,607,1094,t,""
632,607,59,f,""
633,17,885,f,""
634,17,1094,t,""
635,17,59,f,""
636,159,213,f,""
638,159,1094,t,""
639,159,59,f,""
640,21,885,f,""
641,21,1094,f,""
642,21,59,f,""
643,72,138,f,""
651,116,686,f,""
652,116,1539,t,""
653,116,1492,f,""
654,428,686,f,""
655,428,1539,t,""
657,843,1539,t,""
659,290,138,t,""
660,290,509,f,""
663,712,1539,t,""
665,229,1539,t,""
666,199,1539,t,""
668,318,509,f,""
669,318,138,t,""
670,244,509,f,""
671,244,138,t,""
672,422,509,f,""
673,422,138,t,""
674,481,2271,f,""
675,481,686,f,""
676,481,1539,t,""
678,711,509,f,""
679,711,138,t,""
680,820,509,f,""
681,820,658,t,""
682,802,509,f,""
683,802,658,t,""
684,46,509,f,""
685,46,658,t,""
686,147,543,f,""
687,147,1727,t,""
689,147,912,f,""
690,192,543,f,""
691,192,1727,t,""
693,192,912,f,""
694,192,1507,f,"German Bloc (GB/BHE) ministers left party group and joined Christian Democratis (CDU) on 15 July 1955, with guest status until 20 March 1956 (Schindler 1999, 916)."
695,793,1727,t,""
697,793,912,f,The two ministers of the German Party (DP) left their parliamentary group on 1 July 1960 and later joined the Christian Democrats (CDU).
2173,906,1727,t,""
2201,916,1193,t,""
698,62,543,f,Free Democrats (FDP) ministers resigned on 19 November 1962 following the Spiegel scandal but reentered the government on 13 December.
699,62,1727,t,""
701,31,543,f,""
702,31,1727,t,""
704,326,543,f, Free Democratic (FDP) ministers withdrew from cabinet in conflict over potential tax increases.
705,326,1727,t,""
707,170,558,f,""
708,170,1727,t,""
710,358,558,t,""
711,358,543,f,""
712,871,558,t,""
713,871,543,f,""
714,252,558,t,""
715,252,543,f,""
716,459,558,t,""
717,459,543,f,""
718,343,558,t,""
719,343,543,f,Free Democratic (FDP) ministers resigned on 17 September 1982 in conflict over social and tax policies.
720,642,543,f,""
721,642,1727,t,""
723,346,543,f,""
724,346,1727,t,""
726,286,543,f,""
