id,country_id,e_date,wikipedia,seats_total,electorate,votes_cast,votes_valid,description,previous_parliament_election_id,previous_ep_election_id,e_type
18,54,2004-06-13,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Germany)",99,61682394,26523104,25783678,,385,417,European Parliament
37,44,1979-06-10,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_(United_Kingdom)",81,41155166,13446091,13397858,"",243,,European Parliament
160,43,2004-06-13,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(France)",78,41509136,17763671,17168682,"",403,273,European Parliament
196,44,2004-06-10,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(United_Kingdom)",78,44157267,1700780,16869020,"",208,686,European Parliament
219,43,2009-06-07,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(France)",72,44282823,17992161,17218614,"",171,160,European Parliament
222,44,1984-06-17,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_(United_Kingdom)",81,42493122,13998190,13961422,"",290,37,European Parliament
231,54,2009-06-07,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(Germany)",99,62222873,26923614,26333444,"",118,18,European Parliament
273,43,1999-06-13,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(France)",87,40132517,18766155,17647172,"",479,680,European Parliament
296,54,1989-06-18,"http://en.wikipedia.org/wiki/European_Parliament_election,_1989_(West_Germany)",81,45773179,28508598,28206690,,588,610,European Parliament
351,44,1994-06-09,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(United_Kingdom)",87,43441774,15852589,15811039,"",514,682,European Parliament
360,43,1989-06-18,"http://en.wikipedia.org/wiki/European_Parliament_election,_1989_(France)",81,38297496,18690692,18151416,"",643,415,European Parliament
361,54,1979-06-10,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_(West_Germany)",81,42751940,28098872,27847109,,163,,European Parliament
410,44,2009-06-04,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(United_Kingdom)",72,45312626,15235619,15136932,"",233,196,European Parliament
415,43,1984-06-17,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_%28France%29",81,36880688,20911350,20180934,"",20,677,European Parliament
417,54,1999-06-13,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(Germany)",99,60786904,27468932,27059273,,679,540,European Parliament
540,54,1994-06-12,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(Germany)",99,60473927,36295529,35411414,,445,296,European Parliament
610,54,1984-06-17,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_(West_Germany)",81,44465989,25238754,24851371,,484,361,European Parliament
677,43,1979-06-10,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_%28France%29",81,35180531,21356960,20242347,"",496,,European Parliament
680,43,1994-06-12,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(France)",87,39019797,20584980,19487470,"",664,360,European Parliament
682,44,1989-06-15,"http://en.wikipedia.org/wiki/European_Parliament_election,_1989_(United_Kingdom)",81,43180720,15896078,15870465,"",490,222,European Parliament
686,44,1999-06-10,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(United_Kingdom)",87,44458638,10681062,10656080,"",315,351,European Parliament
824,43,2014-05-24,"http://en.wikipedia.org/wiki/European_Parliament_election,_2014_(France)",74,46544712,19747893,18955761,"",782,219,European Parliament
825,54,2014-05-25,"http://en.wikipedia.org/wiki/European_Parliament_election,_2014_(Germany)",96,61998824,29843798,29355092,"",800,231,European Parliament
845,44,2014-05-22,"http://en.wikipedia.org/wiki/European_Parliament_election,_2014_%28United_Kingdom%29",73,46481532,16545761,16454949,"",582,410,European Parliament
20,43,1981-06-21,"http://en.wikipedia.org/wiki/French_legislative_election,_1981",474,35536041,25182031,24822945,"",496,677,Parliamentary election
