id,election_id,party_id,alliance_id,seats,votes,description
22,357,885,7683,21,914397,""
25,375,1539,7676,44,3171459,""
34,595,558,,252,17140354,
35,582,689,,5,171942,""
46,118,772,,51,3838326,
52,582,1284,,6,491386,""
59,118,808,5572,180,13136740,
65,385,772,,55,4110355,""
75,333,1540,,38,5496828,""
76,568,319,2691,1,,""
80,407,1414,7677,32,2111167,""
90,91,677,,14,361045,
101,514,1556,,271,11560484,
122,159,368,,40,3516486,
125,568,1284,,7,633180,
132,609,639,1583,2,133179,""
135,603,940,,90,10074101,""
136,95,1180,5563,48,3615183,
137,286,794,,208,3910852,
138,568,1556,,301,11645616,""
140,514,1566,,1,19305,""
150,161,773,4770,345,,""
169,138,1540,,26,5302485,""
170,102,1556,,295,13948883,
181,511,1382,,4,,""
182,222,773,,45,5426866,""
183,582,1250,,0,564331,""
185,679,558,,298,20181269,
190,677,509,,25,5588851,""
196,333,940,,118,11478742,""
200,189,368,,125,2170625,""
206,581,543,,52,2829920,
222,540,524,,0,1387070,""
226,102,1276,,0,21640,""
231,628,439,,52,8949190,""
240,273,1101,,13,2304544,""
243,360,873,,9,1922945,""
254,91,296,,22,1378260,
257,357,1414,7683,15,810076,""
264,237,462,,22,6589490,""
265,237,439,,127,15067990,""
271,348,890,,39,2295119,""
272,582,773,,307,10726614,""
273,511,1165,,1,,""
275,196,319,,1,175761,Democratic Unionists (DUP) took 1 seat with 31.9% of the vote in Northern Ireland.
280,40,646,3620,3,,""
321,403,509,7537,28,1226462,""
336,385,791,,2,1916702,Party did not pass the five percent threshold but won 2 SMD seats in the East of Germany. Representation as a parliamentary group would have required 3 SMD seats.
339,233,311,,3,174838,
353,333,905,,14,2645582,""
354,471,401,,35,2131763,""
385,610,808,5575,34,9308411,""
388,290,311,,2,125309,
394,315,1284,,6,621550,""
397,291,686,7680,72,5039032,""
406,25,1540,,16,5226987,""
413,645,1193,,298,23480170,""
419,345,1540,,3,1156723,""
420,189,1307,,2,172765,""
421,445,558,,239,15545366,
424,286,368,,48,2447744,""
437,102,1017,4617,19,,""
445,196,1250,,0,808201,""
447,588,772,,42,3126256,""
462,163,808,5564,190,14367302,
465,293,890,7666,77,1887583,""
474,237,1382,,7,247334,""
482,554,1540,,9,4919187,""
499,196,773,,27,4397087,""
504,315,311,,4,161030,""
506,625,1017,5062,16,,""
512,682,659,,0,986292,""
520,40,1210,3620,6,,""
546,171,1539,7535,186,6436520,""
547,547,1180,5565,52,3908459,
549,282,677,,9,359438,
555,282,1189,,2,,""
557,609,1276,,2,102780,""
577,546,368,,177,5647952,
587,514,311,,4,154947,""
589,273,270,,5,1005285,""
598,540,791,,0,1670316,""
602,327,940,,7,3006160,""
608,196,1284,,2,231505,Scottish Nationalists (SNP) took 2 seats with 19.7% of the vote in Scotland.
617,403,285,7537,7,921973,""
625,40,319,3620,1,,""
626,583,1017,1458,3,,""
631,554,439,,113,21036425,""
638,511,1193,,237,20660185,""
641,311,1092,,1,30649,""
656,680,270,,11,2050086,""
661,511,1540,,9,4586172,""
666,293,1086,7666,82,2369778,""
667,568,1023,,1,22660,
678,138,940,,112,11065082,""
681,650,448,,44,1385821,""
688,540,808,5577,39,11346073,""
695,311,311,,0,175016,""
696,496,509,7627,124,,""
699,103,558,,151,7944943,
701,682,773,,32,5331077,""
705,331,558,,169,9495571,
711,103,137,,3,217078,Centre Party (Zentrum) won 1 SMD seat through electoral coordination with the Christian Democrats (CDU).
714,583,1284,,0,128474,""
747,291,516,7680,3,473846,""
754,381,1701,,0,870756,""
759,113,1540,,29,5803613,""
771,410,1250,,2,943598,""
783,112,1189,,6,,""
789,686,467,,2,625378,""
791,163,1180,5564,53,4027499,
795,311,453,,1,,""
820,623,138,7601,146,3153522,""
825,679,1506,,0,601192,
829,208,319,,5,181999,""
841,554,940,,7,3719522,""
855,171,686,7535,15,1115663,""
863,625,332,,2,65211,""
877,250,633,,0,434182,
889,424,1392,,24,940703,
891,490,659,,17,7341633,""
892,40,1284,,11,839617,
894,447,543,,30,1903422,Several Free Democratic (FDP) MPs crossed the floor in opposition to the Ostpolitik.
902,103,1507,,27,1616953,
910,208,1556,,412,10724953,""
916,540,1180,5577,8,2393374,""
917,455,794,,12,1566998,""
920,417,543,,0,820371,""
